multimeter,Arduino
4.91,4.99
4.92,4.99
5.03,4.98
5.03,4.99
4.91,4.99
4.90,4.95
4.92,5.00
4.95,5.00
4.96,4.97
4.93,4.99
4.91,4.98
4.92,4.96
4.93,4.94
4.92,4.97
4.92,4.98
4.91,4.94
4.93,5.01
4.91,4.99
4.98,5.00
4.92,4.95
4.90,5.03
4.95,5.00
4.91,4.98
4.90,5.03
5.03,5.00
4.95,5.03
5.04,5.02
4.94,5.02
4.91,5.00
4.91,4.97
4.92,5.00
4.90,5.04
4.95,4.97
4.91,4.96
4.92,4.98
4.90,4.97
4.89,4.99
4.90,4.98
4.89,5.02
4.88,5.01
4.93,4.98
4.90,4.97
4.98,5.00
4.88,5.01
4.93,4.97
4.88,5.00
4.91,5.00
4.88,4.98
4.95,4.97
4.95,5.02

